e,ratio,error_high,error_low
0.5506690757828764, 0.000014265778443917748, 0.00001661319779239914, 0.000011873175611717044
0.8350786787561119, 0.000024266070851825598, 0.000026033575106465288, 0.000022530392486015455
1.190072855008435, 0.000032780730707665126, 0.00003448825468905884, 0.00003079477140809947
1.6338996175606584, 0.00004480503876528518, 0.000046955134782631243, 0.00004275339657849912
2.1746126814431728, 0.00005866447703015618, 0.0000617202661850175, 0.00005532608133277428
2.8232038670102844, 0.00007863242449111831, 0.0000814458278745609, 0.0000750318116185268
3.575249402838327, 0.00009901169246224762, 0.00010416913818319167, 0.00009337727407415639
4.4995739108492145, 0.00011757798393508345, 0.00012273993543343258, 0.00011219403697897952
5.5929163847592624, 0.00013427711628761295, 0.00014072078202045896, 0.00012762901541151284
6.844750542046385, 0.00014689875707402344, 0.00015334795983976008, 0.00014017219917998106
8.350786787561116, 0.0001619671507034544, 0.00016973960075070666, 0.00015334795983976008
10.125071777801095, 0.00017444464658473516, 0.00018068613235986027, 0.0001658078390641827
12.124692002534246, 0.00018210317903001185, 0.0001915887987391868, 0.000172412435875439
14.38449888287663, 0.00018642134822119985, 0.00019536730183276627, 0.0001778850337113128
17.065489834152558, 0.0001915887987391868, 0.00020078272702245834, 0.00018210317903001185
20.12072960123829, 0.0001915887987391868, 0.00020078272702245834, 0.00018139327195176798
23.72294986083245, 0.00019009793915761427, 0.00019844368815778002, 0.00018210317903001185
27.88329731350716, 0.00019009793915761427, 0.00020000000000000004, 0.00018139327195176798
32.57020655659786, 0.0001878833738193562, 0.00019689948684831142, 0.00017928011252227755
38.04493934889003, 0.00018935686548011803, 0.00019767007959363314, 0.00018139327195176798
44.302042734914394, 0.00018353133901162307, 0.00019309135051638127, 0.00017308719523827665
51.1095461300645, 0.0001878833738193562, 0.00019613189816501244, 0.00017928011252227755
59.51533464285201, 0.00018353133901162307, 0.00019084191312707577, 0.00017512735927876046
69.08857065344051, 0.00018353133901162307, 0.00019233860738905421, 0.00017376459536304922
79.95286083860759, 0.00018861868078815143, 0.00019767007959363314, 0.00017928011252227755
92.23851039358476, 0.00017308719523827665, 0.00018569460728596232, 0.00016070679373000248
111.48937177508525, 0.00018424961370418482, 0.0002023573829799196, 0.00016710820142825695
148.84681330049108, 0.00017998174946558032, 0.00020078272702245834, 0.00015945624429896643
216.11397976480328, 0.00020715583527189914, 0.00024030266055931237, 0.00017444464658473516
354.2075057650653, 0.00015945624429896643, 0.00021540744012238093, 0.00010376304747722654
