# Kinetic energy (GeV), Phi_p * E^2.7 (m^-2 sr^-1 s^-1 GeV^1.7), upper error bar, lower error bar
8.073435838213943, 11967.49358426005, 12111.20615911035, 11823.781009409751
8.837465418100674, 12244.65355004277, 12393.49871685201, 12100.940975192472
9.650936899205592, 12480.752780153976, 12629.597946963215, 12326.775021385798
10.514443691368994, 12660.39349871685, 12809.238665526089, 12511.548331907612
11.455305170838031, 12819.503849443969, 12973.481608212147, 12670.65868263473
12.450812025921275, 12947.81864841745, 13106.928999144568, 12788.708297690333
13.500822393288079, 13040.205303678356, 13194.183062446535, 12881.09495295124
14.67442095063784, 13112.061591103506, 13276.304533789562, 12958.083832335327
15.874381938860223, 13158.25491873396, 13322.497861420015, 13004.27715996578
17.21363734490045, 13173.652694610777, 13332.763045337895, 13014.54234388366
18.66588014468717, 13189.050470487595, 13358.426005132591, 13029.940119760478
20.240848864350063, 13178.785286569717, 13337.895637296833, 13019.674935842599
21.89652489249257, 13163.387510692899, 13337.895637296833, 13004.27715996578
23.687922792223283, 13117.194183062446, 13286.569717707442, 12952.95124037639
25.6261396143769, 13045.337895637296, 13209.580838323353, 12886.227544910178
27.722834147419988, 12983.746792130025, 13153.122326775021, 12824.636441402907
29.848637627775304, 12911.890504704876, 13076.133447390932, 12752.780153977757
32.214170024417655, 12834.901625320786, 12999.144568006843, 12675.791274593668
34.76731478149302, 12747.647562018818, 12911.890504704876, 12593.669803250641
37.43359839833926, 12655.26090675791, 12819.503849443969, 12496.150556030794
40.20828712542465, 12573.139435414883, 12737.38237810094, 12414.029084687765
43.39474297822753, 12501.283147989734, 12660.39349871685, 12337.040205303678
46.72294432535112, 12393.49871685201, 12552.609067579126, 12234.388366124891
50.3063027371115, 12290.846877673224, 12460.22241231822, 12142.001710863986
54.03537452427082, 12198.460222412315, 12357.570573139434, 12039.349871685201
57.90299672706191, 12095.808383233532, 12260.051325919587, 11941.830624465354
62.491990629070315, 12013.686911890503, 12172.79726261762, 11859.709153122327
66.96340024653492, 11967.49358426005, 12126.603934987168, 11813.515825491873
72.10039782326663, 11818.648417450811, 11977.75876817793, 11669.803250641573
77.44406065711303, 11757.05731394354, 11916.167664670658, 11597.946963216424
83.18681628713344, 11603.079555175362, 11757.05731394354, 11449.101796407185
89.56636117859131, 11510.692899914455, 11669.803250641573, 11356.715141146276
96.20469586254511, 11443.969204448245, 11603.079555175362, 11300.256629597945
104.07602813901896, 11382.378100940974, 11546.62104362703, 11228.400342172798
111.79409560802607, 11218.135158254918, 11377.245508982036, 11074.42258340462
120.07791181466479, 11192.472198460222, 11351.582549187338, 11033.361847733104
129.59683954959877, 11064.15739948674, 11233.532934131736, 10910.179640718563
140.53811741865013, 10940.975192472197, 11105.218135158253, 10781.86484174508
153.4959605841904, 10822.925577416594, 10987.16852010265, 10663.815226689478
166.84958762582716, 10735.671514114627, 10899.914456800683, 10571.428571428569
182.66992209824465, 10591.958939264328, 10766.467065868263, 10427.715996578272
201.42397522841722, 10458.511548331908, 10627.887082976902, 10289.136013686912
221.57402692024732, 10335.329341317365, 10509.837467921298, 10160.821214713429
245.4846417117872, 10248.075278015396, 10427.71599657827, 10068.434559452522
273.92745077020754, 10150.55603079555, 10345.594525235243, 9970.915312232677
309.33239314841563, 10022.24123182207, 10222.4123182207, 9832.335329341315
352.67249751817604, 9791.274593669801, 9991.445680068435, 9596.236099230111
407.8404983890885, 9765.611633875105, 9981.180496150557, 9555.175363558596
480.7272985515573, 9668.09238665526, 9904.191616766466, 9437.125748502993
580.2662072784549, 9724.550898203594, 9996.578272027375, 9467.921300256628
724.1486979612814, 9857.998289136014, 10181.351582549187, 9550.042771599656
959.2835063066684, 9688.622754491018, 10094.09751924722, 9298.545765611634
1414.6008608455902, 9473.053892215568, 10032.50641573995, 8918.733960650126
